text,text_clean,sentiment,target
this is awful #7798,awful,negative,0
will follow up later #1542,follow later,neutral,1
as expected #5214,expect,neutral,1
totally disappointed with this #6217,totally disappointed,negative,0
fantastic support team #139,fantastic support team,positive,2
hate this update #1532,hate update,negative,0
standard procedure #3278,standard procedure,neutral,1
hate this update #5204,hate update,negative,0
this made my day #1867,make day,positive,2
standard procedure #217,standard procedure,neutral,1
as expected #712,expect,neutral,1
link attached for reference #7631,link attach reference,neutral,1
will follow up later #2246,follow later,neutral,1
link attached for reference #4600,link attach reference,neutral,1
great experience #6,great experience,positive,2
standard procedure #2441,standard procedure,neutral,1
great experience #2261,great experience,positive,2
the meeting is at 3pm #4578,meeting 3pm,neutral,1
waste of time #4618,waste time,negative,0
worst experience ever #4695,bad experience ever,negative,0
this made my day #5962,make day,positive,2
would not recommend #1180,would recommend,negative,0
ok thanks #4676,ok thanks,neutral,1
noted for the record #5921,note record,neutral,1
highly recommend #2781,highly recommend,positive,2
would not recommend #2376,would recommend,negative,0
ok thanks #4482,ok thanks,neutral,1
totally disappointed with this #4347,totally disappointed,negative,0
the meeting is at 3pm #364,meeting 3pm,neutral,1
would not recommend #4350,would recommend,negative,0
as expected #6142,expect,neutral,1
terrible quality #6329,terrible quality,negative,0
terrible quality #5650,terrible quality,negative,0
as expected #2015,expect,neutral,1
worst experience ever #4690,bad experience ever,negative,0
so frustrated right now #6766,frustrate right,negative,0
so frustrated right now #1445,frustrate right,negative,0
worst experience ever #3900,bad experience ever,negative,0
loving this so much #1631,love much,positive,2
ok thanks #9884,ok thanks,neutral,1
hate this update #5864,hate update,negative,0
highly recommend #5417,highly recommend,positive,2
see you tomorrow #8951,see tomorrow,neutral,1
standard procedure #6483,standard procedure,neutral,1
fantastic support team #4506,fantastic support team,positive,2
fantastic support team #249,fantastic support team,positive,2
highly recommend #3402,highly recommend,positive,2
worst experience ever #9845,bad experience ever,negative,0
waste of time #9744,waste time,negative,0
the meeting is at 3pm #4090,meeting 3pm,neutral,1
loving this so much #8402,love much,positive,2
ok thanks #6935,ok thanks,neutral,1
fantastic support team #6604,fantastic support team,positive,2
will follow up later #5861,follow later,neutral,1
excellent quality #9,excellent quality,positive,2
would not recommend #6772,would recommend,negative,0
the meeting is at 3pm #5826,meeting 3pm,neutral,1
so happy with this #3087,happy,positive,2
so frustrated right now #4932,frustrate right,negative,0
fantastic support team #7181,fantastic support team,positive,2
best day ever #7012,best day ever,positive,2
excellent quality #9153,excellent quality,positive,2
will follow up later #9369,follow later,neutral,1
standard procedure #3521,standard procedure,neutral,1
so happy with this #8681,happy,positive,2
would not recommend #8294,would recommend,negative,0
hate this update #940,hate update,negative,0
waste of time #3159,waste time,negative,0
totally disappointed with this #9359,totally disappointed,negative,0
the meeting is at 3pm #3495,meeting 3pm,neutral,1
link attached for reference #2459,link attach reference,neutral,1
would not recommend #492,would recommend,negative,0
link attached for reference #8058,link attach reference,neutral,1
great experience #4979,great experience,positive,2
standard procedure #8465,standard procedure,neutral,1
fantastic support team #5629,fantastic support team,positive,2
fantastic support team #683,fantastic support team,positive,2
excellent quality #1352,excellent quality,positive,2
loving this so much #204,love much,positive,2
loving this so much #3306,love much,positive,2
terrible quality #6776,terrible quality,negative,0
will follow up later #4141,follow later,neutral,1
terrible quality #3783,terrible quality,negative,0
hate this update #6102,hate update,negative,0
excellent quality #7051,excellent quality,positive,2
this made my day #4742,make day,positive,2
fantastic support team #3081,fantastic support team,positive,2
this made my day #8292,make day,positive,2
standard procedure #6599,standard procedure,neutral,1
hate this update #7743,hate update,negative,0
fantastic support team #1562,fantastic support team,positive,2
so frustrated right now #4757,frustrate right,negative,0
excellent quality #7964,excellent quality,positive,2
waste of time #1377,waste time,negative,0
great experience #9496,great experience,positive,2
terrible quality #2669,terrible quality,negative,0
standard procedure #2402,standard procedure,neutral,1
excellent quality #9762,excellent quality,positive,2
ok thanks #3934,ok thanks,neutral,1
noted for the record #5569,note record,neutral,1
this made my day #3314,make day,positive,2
this is awful #4936,awful,negative,0
would not recommend #6522,would recommend,negative,0
excellent quality #4509,excellent quality,positive,2
waste of time #3944,waste time,negative,0
totally disappointed with this #2731,totally disappointed,negative,0
the meeting is at 3pm #8526,meeting 3pm,neutral,1
fantastic support team #1856,fantastic support team,positive,2
fantastic support team #7089,fantastic support team,positive,2
this is awful #9359,awful,negative,0
best day ever #7060,best day ever,positive,2
waste of time #441,waste time,negative,0
best day ever #6669,best day ever,positive,2
will follow up later #2588,follow later,neutral,1
see you tomorrow #412,see tomorrow,neutral,1
excellent quality #5106,excellent quality,positive,2
worst experience ever #6519,bad experience ever,negative,0
will follow up later #4462,follow later,neutral,1
noted for the record #7561,note record,neutral,1
hate this update #633,hate update,negative,0
loving this so much #702,love much,positive,2
the meeting is at 3pm #2578,meeting 3pm,neutral,1
totally disappointed with this #2947,totally disappointed,negative,0
noted for the record #5718,note record,neutral,1
fantastic support team #7120,fantastic support team,positive,2
terrible quality #8276,terrible quality,negative,0
noted for the record #2628,note record,neutral,1
see you tomorrow #9451,see tomorrow,neutral,1
totally disappointed with this #1383,totally disappointed,negative,0
link attached for reference #8755,link attach reference,neutral,1
so happy with this #4541,happy,positive,2
so frustrated right now #8325,frustrate right,negative,0
so happy with this #2155,happy,positive,2
terrible quality #5724,terrible quality,negative,0
standard procedure #3084,standard procedure,neutral,1
loving this so much #2426,love much,positive,2
hate this update #7729,hate update,negative,0
noted for the record #7491,note record,neutral,1
loving this so much #2116,love much,positive,2
hate this update #638,hate update,negative,0
will follow up later #6972,follow later,neutral,1
link attached for reference #3002,link attach reference,neutral,1
highly recommend #2637,highly recommend,positive,2
this made my day #6226,make day,positive,2
so frustrated right now #8641,frustrate right,negative,0
terrible quality #1894,terrible quality,negative,0
highly recommend #5392,highly recommend,positive,2
waste of time #1189,waste time,negative,0
link attached for reference #1749,link attach reference,neutral,1
great experience #2409,great experience,positive,2
noted for the record #9140,note record,neutral,1
so frustrated right now #5903,frustrate right,negative,0
terrible quality #8368,terrible quality,negative,0
will follow up later #5522,follow later,neutral,1
hate this update #486,hate update,negative,0
link attached for reference #6747,link attach reference,neutral,1
hate this update #8875,hate update,negative,0
link attached for reference #2576,link attach reference,neutral,1
standard procedure #1238,standard procedure,neutral,1
this made my day #7000,make day,positive,2
highly recommend #5279,highly recommend,positive,2
this made my day #6945,make day,positive,2
so happy with this #7479,happy,positive,2
waste of time #6854,waste time,negative,0
best day ever #5101,best day ever,positive,2
the meeting is at 3pm #7284,meeting 3pm,neutral,1
worst experience ever #841,bad experience ever,negative,0
see you tomorrow #6938,see tomorrow,neutral,1
loving this so much #7918,love much,positive,2
see you tomorrow #3446,see tomorrow,neutral,1
fantastic support team #9976,fantastic support team,positive,2
totally disappointed with this #5219,totally disappointed,negative,0
this is awful #176,awful,negative,0
see you tomorrow #3224,see tomorrow,neutral,1
this made my day #6448,make day,positive,2
worst experience ever #8900,bad experience ever,negative,0
excellent quality #2024,excellent quality,positive,2
best day ever #8662,best day ever,positive,2
excellent quality #6177,excellent quality,positive,2
the meeting is at 3pm #9560,meeting 3pm,neutral,1
ok thanks #7103,ok thanks,neutral,1
as expected #8444,expect,neutral,1
worst experience ever #9361,bad experience ever,negative,0
will follow up later #4871,follow later,neutral,1
so frustrated right now #9163,frustrate right,negative,0
waste of time #4400,waste time,negative,0
see you tomorrow #2367,see tomorrow,neutral,1
link attached for reference #8307,link attach reference,neutral,1
best day ever #5819,best day ever,positive,2
noted for the record #423,note record,neutral,1
this made my day #6218,make day,positive,2
ok thanks #9856,ok thanks,neutral,1
loving this so much #63,love much,positive,2
noted for the record #8729,note record,neutral,1
totally disappointed with this #9718,totally disappointed,negative,0
highly recommend #5606,highly recommend,positive,2
see you tomorrow #1397,see tomorrow,neutral,1
hate this update #8589,hate update,negative,0
worst experience ever #9368,bad experience ever,negative,0
this made my day #4047,make day,positive,2
ok thanks #1864,ok thanks,neutral,1
standard procedure #4212,standard procedure,neutral,1
so happy with this #8313,happy,positive,2
would not recommend #6492,would recommend,negative,0
hate this update #960,hate update,negative,0
excellent quality #9749,excellent quality,positive,2
see you tomorrow #9413,see tomorrow,neutral,1
would not recommend #2436,would recommend,negative,0
will follow up later #2762,follow later,neutral,1
the meeting is at 3pm #2276,meeting 3pm,neutral,1
would not recommend #9556,would recommend,negative,0
fantastic support team #1672,fantastic support team,positive,2
ok thanks #6415,ok thanks,neutral,1
highly recommend #1401,highly recommend,positive,2
excellent quality #7793,excellent quality,positive,2
loving this so much #3959,love much,positive,2
link attached for reference #6818,link attach reference,neutral,1
waste of time #231,waste time,negative,0
ok thanks #509,ok thanks,neutral,1
loving this so much #8779,love much,positive,2
noted for the record #7701,note record,neutral,1
hate this update #3044,hate update,negative,0
so happy with this #8596,happy,positive,2
noted for the record #5209,note record,neutral,1
as expected #9940,expect,neutral,1
totally disappointed with this #9975,totally disappointed,negative,0
this made my day #6999,make day,positive,2
great experience #9347,great experience,positive,2
as expected #1632,expect,neutral,1
so happy with this #6588,happy,positive,2
loving this so much #290,love much,positive,2
noted for the record #750,note record,neutral,1
highly recommend #6117,highly recommend,positive,2
as expected #5542,expect,neutral,1
worst experience ever #9954,bad experience ever,negative,0
totally disappointed with this #968,totally disappointed,negative,0
worst experience ever #2363,bad experience ever,negative,0
this is awful #5195,awful,negative,0
will follow up later #2348,follow later,neutral,1
great experience #6038,great experience,positive,2
noted for the record #4986,note record,neutral,1
link attached for reference #9403,link attach reference,neutral,1
this made my day #2698,make day,positive,2
fantastic support team #6539,fantastic support team,positive,2
fantastic support team #6200,fantastic support team,positive,2
waste of time #4659,waste time,negative,0
as expected #4813,expect,neutral,1
this is awful #5089,awful,negative,0
will follow up later #1657,follow later,neutral,1
will follow up later #9605,follow later,neutral,1
terrible quality #555,terrible quality,negative,0
waste of time #5297,waste time,negative,0
totally disappointed with this #3479,totally disappointed,negative,0
will follow up later #2223,follow later,neutral,1
hate this update #8014,hate update,negative,0
waste of time #5007,waste time,negative,0
waste of time #8047,waste time,negative,0
would not recommend #6587,would recommend,negative,0
waste of time #6525,waste time,negative,0
fantastic support team #2163,fantastic support team,positive,2
excellent quality #5314,excellent quality,positive,2
waste of time #8225,waste time,negative,0
fantastic support team #5705,fantastic support team,positive,2
standard procedure #1838,standard procedure,neutral,1
will follow up later #1184,follow later,neutral,1
ok thanks #341,ok thanks,neutral,1
loving this so much #8564,love much,positive,2
noted for the record #2868,note record,neutral,1
fantastic support team #1188,fantastic support team,positive,2
would not recommend #3607,would recommend,negative,0
will follow up later #5276,follow later,neutral,1
so happy with this #9356,happy,positive,2
the meeting is at 3pm #6355,meeting 3pm,neutral,1
would not recommend #2578,would recommend,negative,0
great experience #6394,great experience,positive,2
standard procedure #7868,standard procedure,neutral,1
highly recommend #1285,highly recommend,positive,2
ok thanks #7460,ok thanks,neutral,1
worst experience ever #8334,bad experience ever,negative,0
see you tomorrow #7100,see tomorrow,neutral,1
hate this update #876,hate update,negative,0
noted for the record #3782,note record,neutral,1
totally disappointed with this #4115,totally disappointed,negative,0
so frustrated right now #7385,frustrate right,negative,0
fantastic support team #2891,fantastic support team,positive,2
worst experience ever #351,bad experience ever,negative,0
as expected #5494,expect,neutral,1
totally disappointed with this #4234,totally disappointed,negative,0
see you tomorrow #3426,see tomorrow,neutral,1
ok thanks #4916,ok thanks,neutral,1
best day ever #3067,best day ever,positive,2
this is awful #946,awful,negative,0
as expected #1526,expect,neutral,1
so frustrated right now #7817,frustrate right,negative,0
ok thanks #2079,ok thanks,neutral,1
see you tomorrow #4665,see tomorrow,neutral,1
link attached for reference #7341,link attach reference,neutral,1
terrible quality #6310,terrible quality,negative,0
so frustrated right now #877,frustrate right,negative,0
worst experience ever #7585,bad experience ever,negative,0
as expected #7728,expect,neutral,1
this is awful #3649,awful,negative,0
best day ever #9908,best day ever,positive,2
totally disappointed with this #9585,totally disappointed,negative,0
as expected #4609,expect,neutral,1
see you tomorrow #4638,see tomorrow,neutral,1
totally disappointed with this #16,totally disappointed,negative,0
see you tomorrow #8057,see tomorrow,neutral,1
this made my day #5470,make day,positive,2
this made my day #9152,make day,positive,2
terrible quality #9327,terrible quality,negative,0
so frustrated right now #1030,frustrate right,negative,0
noted for the record #5472,note record,neutral,1
excellent quality #703,excellent quality,positive,2
excellent quality #2962,excellent quality,positive,2
noted for the record #9370,note record,neutral,1
so happy with this #1513,happy,positive,2
so frustrated right now #8494,frustrate right,negative,0
as expected #9988,expect,neutral,1
excellent quality #4646,excellent quality,positive,2
hate this update #8444,hate update,negative,0
so happy with this #2486,happy,positive,2
link attached for reference #2076,link attach reference,neutral,1
loving this so much #4398,love much,positive,2
would not recommend #4612,would recommend,negative,0
loving this so much #6545,love much,positive,2
as expected #8406,expect,neutral,1
fantastic support team #5083,fantastic support team,positive,2
so happy with this #9246,happy,positive,2
so frustrated right now #5509,frustrate right,negative,0
will follow up later #2252,follow later,neutral,1
so frustrated right now #7002,frustrate right,negative,0
terrible quality #3925,terrible quality,negative,0
this made my day #1449,make day,positive,2
worst experience ever #963,bad experience ever,negative,0
terrible quality #6375,terrible quality,negative,0
so frustrated right now #9366,frustrate right,negative,0
standard procedure #7725,standard procedure,neutral,1
as expected #4565,expect,neutral,1
this made my day #6526,make day,positive,2
the meeting is at 3pm #4177,meeting 3pm,neutral,1
this made my day #4410,make day,positive,2
totally disappointed with this #1504,totally disappointed,negative,0
so frustrated right now #696,frustrate right,negative,0
standard procedure #9314,standard procedure,neutral,1
would not recommend #4906,would recommend,negative,0
excellent quality #589,excellent quality,positive,2
the meeting is at 3pm #7545,meeting 3pm,neutral,1
so happy with this #1778,happy,positive,2
as expected #3204,expect,neutral,1
waste of time #1729,waste time,negative,0
terrible quality #8738,terrible quality,negative,0
so frustrated right now #2484,frustrate right,negative,0
would not recommend #6364,would recommend,negative,0
great experience #8400,great experience,positive,2
this made my day #2002,make day,positive,2
fantastic support team #4170,fantastic support team,positive,2
so happy with this #1375,happy,positive,2
loving this so much #2833,love much,positive,2
would not recommend #7807,would recommend,negative,0
will follow up later #2325,follow later,neutral,1
so frustrated right now #2435,frustrate right,negative,0
will follow up later #9812,follow later,neutral,1
see you tomorrow #5482,see tomorrow,neutral,1
will follow up later #5712,follow later,neutral,1
totally disappointed with this #2847,totally disappointed,negative,0
see you tomorrow #2913,see tomorrow,neutral,1
excellent quality #6855,excellent quality,positive,2
best day ever #4393,best day ever,positive,2
would not recommend #8020,would recommend,negative,0
great experience #5234,great experience,positive,2
standard procedure #4361,standard procedure,neutral,1
this made my day #5343,make day,positive,2
the meeting is at 3pm #2731,meeting 3pm,neutral,1
ok thanks #2794,ok thanks,neutral,1
this made my day #2489,make day,positive,2
excellent quality #1581,excellent quality,positive,2
great experience #7924,great experience,positive,2
ok thanks #7822,ok thanks,neutral,1
waste of time #1237,waste time,negative,0
worst experience ever #5893,bad experience ever,negative,0
worst experience ever #3785,bad experience ever,negative,0
link attached for reference #7914,link attach reference,neutral,1
terrible quality #6832,terrible quality,negative,0
see you tomorrow #2704,see tomorrow,neutral,1
so happy with this #282,happy,positive,2
standard procedure #5851,standard procedure,neutral,1
loving this so much #710,love much,positive,2
this is awful #1105,awful,negative,0
ok thanks #2898,ok thanks,neutral,1
fantastic support team #4423,fantastic support team,positive,2
highly recommend #3792,highly recommend,positive,2
would not recommend #8231,would recommend,negative,0
standard procedure #2130,standard procedure,neutral,1
the meeting is at 3pm #4562,meeting 3pm,neutral,1
this is awful #1049,awful,negative,0
ok thanks #6539,ok thanks,neutral,1
standard procedure #5829,standard procedure,neutral,1
worst experience ever #4699,bad experience ever,negative,0
great experience #4785,great experience,positive,2
highly recommend #5882,highly recommend,positive,2
will follow up later #4316,follow later,neutral,1
loving this so much #7378,love much,positive,2
link attached for reference #6422,link attach reference,neutral,1
would not recommend #1317,would recommend,negative,0
best day ever #3278,best day ever,positive,2
fantastic support team #7447,fantastic support team,positive,2
worst experience ever #2043,bad experience ever,negative,0
waste of time #1603,waste time,negative,0
great experience #9090,great experience,positive,2
terrible quality #4158,terrible quality,negative,0
as expected #1072,expect,neutral,1
terrible quality #8457,terrible quality,negative,0
loving this so much #4484,love much,positive,2
standard procedure #3362,standard procedure,neutral,1
would not recommend #2019,would recommend,negative,0
ok thanks #1659,ok thanks,neutral,1
totally disappointed with this #9267,totally disappointed,negative,0
worst experience ever #2140,bad experience ever,negative,0
this made my day #8344,make day,positive,2
waste of time #54,waste time,negative,0
ok thanks #4510,ok thanks,neutral,1
terrible quality #5445,terrible quality,negative,0
highly recommend #5286,highly recommend,positive,2
would not recommend #40,would recommend,negative,0
noted for the record #7642,note record,neutral,1
so frustrated right now #6115,frustrate right,negative,0
so happy with this #1878,happy,positive,2
the meeting is at 3pm #2840,meeting 3pm,neutral,1
standard procedure #980,standard procedure,neutral,1
best day ever #732,best day ever,positive,2
highly recommend #8040,highly recommend,positive,2
totally disappointed with this #358,totally disappointed,negative,0
waste of time #7721,waste time,negative,0
would not recommend #1439,would recommend,negative,0
noted for the record #9218,note record,neutral,1
will follow up later #9233,follow later,neutral,1
worst experience ever #5724,bad experience ever,negative,0
would not recommend #4085,would recommend,negative,0
this is awful #3480,awful,negative,0
so frustrated right now #5900,frustrate right,negative,0
great experience #5996,great experience,positive,2
this made my day #9051,make day,positive,2
terrible quality #2751,terrible quality,negative,0
excellent quality #1008,excellent quality,positive,2
totally disappointed with this #6339,totally disappointed,negative,0
would not recommend #3615,would recommend,negative,0
fantastic support team #8559,fantastic support team,positive,2
so frustrated right now #7467,frustrate right,negative,0
as expected #5197,expect,neutral,1
standard procedure #9424,standard procedure,neutral,1
the meeting is at 3pm #6404,meeting 3pm,neutral,1
this is awful #7502,awful,negative,0
will follow up later #9441,follow later,neutral,1
loving this so much #1246,love much,positive,2
the meeting is at 3pm #1499,meeting 3pm,neutral,1
totally disappointed with this #941,totally disappointed,negative,0
hate this update #1477,hate update,negative,0
the meeting is at 3pm #3512,meeting 3pm,neutral,1
link attached for reference #5218,link attach reference,neutral,1
this is awful #3961,awful,negative,0
best day ever #9890,best day ever,positive,2
would not recommend #1382,would recommend,negative,0
would not recommend #5202,would recommend,negative,0
so happy with this #3928,happy,positive,2
will follow up later #9021,follow later,neutral,1
link attached for reference #2991,link attach reference,neutral,1
ok thanks #425,ok thanks,neutral,1
worst experience ever #3736,bad experience ever,negative,0
excellent quality #2868,excellent quality,positive,2
the meeting is at 3pm #5076,meeting 3pm,neutral,1
hate this update #3307,hate update,negative,0
this is awful #1655,awful,negative,0
waste of time #5314,waste time,negative,0
this is awful #6191,awful,negative,0
as expected #2634,expect,neutral,1
standard procedure #2307,standard procedure,neutral,1
this made my day #5605,make day,positive,2
as expected #6218,expect,neutral,1
link attached for reference #5657,link attach reference,neutral,1
so happy with this #4392,happy,positive,2
link attached for reference #9950,link attach reference,neutral,1
loving this so much #6144,love much,positive,2
excellent quality #2111,excellent quality,positive,2
see you tomorrow #607,see tomorrow,neutral,1
fantastic support team #7906,fantastic support team,positive,2
waste of time #6322,waste time,negative,0
loving this so much #4254,love much,positive,2
terrible quality #4829,terrible quality,negative,0
waste of time #6578,waste time,negative,0
terrible quality #6122,terrible quality,negative,0
hate this update #9090,hate update,negative,0
this made my day #8694,make day,positive,2
this made my day #6813,make day,positive,2
loving this so much #5707,love much,positive,2
will follow up later #4888,follow later,neutral,1
best day ever #4762,best day ever,positive,2
so happy with this #3235,happy,positive,2
highly recommend #9468,highly recommend,positive,2
hate this update #4496,hate update,negative,0
waste of time #6619,waste time,negative,0
this made my day #5530,make day,positive,2
so frustrated right now #1659,frustrate right,negative,0
so happy with this #5425,happy,positive,2
this made my day #1782,make day,positive,2
see you tomorrow #1729,see tomorrow,neutral,1
totally disappointed with this #5041,totally disappointed,negative,0
totally disappointed with this #552,totally disappointed,negative,0
link attached for reference #4472,link attach reference,neutral,1
hate this update #8787,hate update,negative,0
will follow up later #9132,follow later,neutral,1
standard procedure #7703,standard procedure,neutral,1
will follow up later #3752,follow later,neutral,1
link attached for reference #5964,link attach reference,neutral,1
great experience #1817,great experience,positive,2
terrible quality #6203,terrible quality,negative,0
best day ever #9529,best day ever,positive,2
would not recommend #9529,would recommend,negative,0
great experience #5143,great experience,positive,2
the meeting is at 3pm #740,meeting 3pm,neutral,1
standard procedure #2878,standard procedure,neutral,1
terrible quality #6059,terrible quality,negative,0
so happy with this #2086,happy,positive,2
terrible quality #3975,terrible quality,negative,0
see you tomorrow #2652,see tomorrow,neutral,1
terrible quality #6526,terrible quality,negative,0
terrible quality #3292,terrible quality,negative,0
great experience #7895,great experience,positive,2
link attached for reference #8424,link attach reference,neutral,1
see you tomorrow #1178,see tomorrow,neutral,1
totally disappointed with this #6824,totally disappointed,negative,0
fantastic support team #547,fantastic support team,positive,2
terrible quality #1875,terrible quality,negative,0
waste of time #4203,waste time,negative,0
so happy with this #8851,happy,positive,2
hate this update #4217,hate update,negative,0
would not recommend #5372,would recommend,negative,0
totally disappointed with this #3853,totally disappointed,negative,0
will follow up later #8729,follow later,neutral,1
fantastic support team #3287,fantastic support team,positive,2
standard procedure #9191,standard procedure,neutral,1
so frustrated right now #4610,frustrate right,negative,0
this is awful #7789,awful,negative,0
noted for the record #4283,note record,neutral,1
ok thanks #4992,ok thanks,neutral,1
ok thanks #7930,ok thanks,neutral,1
great experience #1948,great experience,positive,2
worst experience ever #5545,bad experience ever,negative,0
excellent quality #759,excellent quality,positive,2
as expected #9122,expect,neutral,1
so frustrated right now #4564,frustrate right,negative,0
ok thanks #6104,ok thanks,neutral,1
best day ever #8069,best day ever,positive,2
best day ever #4320,best day ever,positive,2
will follow up later #1140,follow later,neutral,1
fantastic support team #4065,fantastic support team,positive,2
so frustrated right now #403,frustrate right,negative,0
this made my day #8198,make day,positive,2
would not recommend #5295,would recommend,negative,0
hate this update #4249,hate update,negative,0
this is awful #9456,awful,negative,0
the meeting is at 3pm #3778,meeting 3pm,neutral,1
standard procedure #3596,standard procedure,neutral,1
loving this so much #8927,love much,positive,2
totally disappointed with this #4964,totally disappointed,negative,0
this made my day #9362,make day,positive,2
totally disappointed with this #9237,totally disappointed,negative,0
noted for the record #3965,note record,neutral,1
worst experience ever #8879,bad experience ever,negative,0
great experience #4095,great experience,positive,2
totally disappointed with this #4012,totally disappointed,negative,0
would not recommend #5543,would recommend,negative,0
hate this update #2845,hate update,negative,0
so happy with this #1297,happy,positive,2
ok thanks #8517,ok thanks,neutral,1
excellent quality #8876,excellent quality,positive,2
waste of time #1637,waste time,negative,0
terrible quality #4400,terrible quality,negative,0
best day ever #8355,best day ever,positive,2
see you tomorrow #7114,see tomorrow,neutral,1
ok thanks #9720,ok thanks,neutral,1
ok thanks #3733,ok thanks,neutral,1
see you tomorrow #9976,see tomorrow,neutral,1
great experience #3422,great experience,positive,2
highly recommend #652,highly recommend,positive,2
hate this update #631,hate update,negative,0
