text,sentiment,target
noted for the record #9370,neutral,1
so happy with this #1513,positive,2
so frustrated right now #8494,negative,0
as expected #9988,neutral,1
excellent quality #4646,positive,2
hate this update #8444,negative,0
so happy with this #2486,positive,2
link attached for reference #2076,neutral,1
loving this so much #4398,positive,2
would not recommend #4612,negative,0
loving this so much #6545,positive,2
as expected #8406,neutral,1
fantastic support team #5083,positive,2
so happy with this #9246,positive,2
so frustrated right now #5509,negative,0
will follow up later #2252,neutral,1
so frustrated right now #7002,negative,0
terrible quality #3925,negative,0
this made my day #1449,positive,2
worst experience ever #963,negative,0
terrible quality #6375,negative,0
so frustrated right now #9366,negative,0
standard procedure #7725,neutral,1
as expected #4565,neutral,1
this made my day #6526,positive,2
the meeting is at 3pm #4177,neutral,1
this made my day #4410,positive,2
totally disappointed with this #1504,negative,0
so frustrated right now #696,negative,0
standard procedure #9314,neutral,1
would not recommend #4906,negative,0
excellent quality #589,positive,2
the meeting is at 3pm #7545,neutral,1
so happy with this #1778,positive,2
as expected #3204,neutral,1
waste of time #1729,negative,0
terrible quality #8738,negative,0
so frustrated right now #2484,negative,0
would not recommend #6364,negative,0
great experience #8400,positive,2
this made my day #2002,positive,2
fantastic support team #4170,positive,2
so happy with this #1375,positive,2
loving this so much #2833,positive,2
would not recommend #7807,negative,0
will follow up later #2325,neutral,1
so frustrated right now #2435,negative,0
will follow up later #9812,neutral,1
see you tomorrow #5482,neutral,1
will follow up later #5712,neutral,1
totally disappointed with this #2847,negative,0
see you tomorrow #2913,neutral,1
excellent quality #6855,positive,2
best day ever #4393,positive,2
would not recommend #8020,negative,0
great experience #5234,positive,2
standard procedure #4361,neutral,1
this made my day #5343,positive,2
the meeting is at 3pm #2731,neutral,1
ok thanks #2794,neutral,1
this made my day #2489,positive,2
excellent quality #1581,positive,2
great experience #7924,positive,2
ok thanks #7822,neutral,1
waste of time #1237,negative,0
worst experience ever #5893,negative,0
worst experience ever #3785,negative,0
link attached for reference #7914,neutral,1
terrible quality #6832,negative,0
see you tomorrow #2704,neutral,1
so happy with this #282,positive,2
standard procedure #5851,neutral,1
loving this so much #710,positive,2
this is awful #1105,negative,0
ok thanks #2898,neutral,1
fantastic support team #4423,positive,2
highly recommend #3792,positive,2
would not recommend #8231,negative,0
standard procedure #2130,neutral,1
the meeting is at 3pm #4562,neutral,1
this is awful #1049,negative,0
ok thanks #6539,neutral,1
standard procedure #5829,neutral,1
worst experience ever #4699,negative,0
great experience #4785,positive,2
highly recommend #5882,positive,2
will follow up later #4316,neutral,1
loving this so much #7378,positive,2
link attached for reference #6422,neutral,1
would not recommend #1317,negative,0
best day ever #3278,positive,2
fantastic support team #7447,positive,2
worst experience ever #2043,negative,0
waste of time #1603,negative,0
great experience #9090,positive,2
terrible quality #4158,negative,0
as expected #1072,neutral,1
terrible quality #8457,negative,0
loving this so much #4484,positive,2
standard procedure #3362,neutral,1
would not recommend #2019,negative,0
ok thanks #1659,neutral,1
totally disappointed with this #9267,negative,0
worst experience ever #2140,negative,0
this made my day #8344,positive,2
waste of time #54,negative,0
ok thanks #4510,neutral,1
terrible quality #5445,negative,0
highly recommend #5286,positive,2
would not recommend #40,negative,0
noted for the record #7642,neutral,1
so frustrated right now #6115,negative,0
so happy with this #1878,positive,2
the meeting is at 3pm #2840,neutral,1
standard procedure #980,neutral,1
best day ever #732,positive,2
highly recommend #8040,positive,2
totally disappointed with this #358,negative,0
waste of time #7721,negative,0
would not recommend #1439,negative,0
noted for the record #9218,neutral,1
will follow up later #9233,neutral,1
worst experience ever #5724,negative,0
would not recommend #4085,negative,0
this is awful #3480,negative,0
so frustrated right now #5900,negative,0
great experience #5996,positive,2
this made my day #9051,positive,2
terrible quality #2751,negative,0
excellent quality #1008,positive,2
totally disappointed with this #6339,negative,0
would not recommend #3615,negative,0
fantastic support team #8559,positive,2
so frustrated right now #7467,negative,0
as expected #5197,neutral,1
standard procedure #9424,neutral,1
the meeting is at 3pm #6404,neutral,1
this is awful #7502,negative,0
will follow up later #9441,neutral,1
loving this so much #1246,positive,2
the meeting is at 3pm #1499,neutral,1
totally disappointed with this #941,negative,0
hate this update #1477,negative,0
the meeting is at 3pm #3512,neutral,1
link attached for reference #5218,neutral,1
this is awful #3961,negative,0
best day ever #9890,positive,2
would not recommend #1382,negative,0
would not recommend #5202,negative,0
so happy with this #3928,positive,2
will follow up later #9021,neutral,1
link attached for reference #2991,neutral,1
ok thanks #425,neutral,1
worst experience ever #3736,negative,0
excellent quality #2868,positive,2
the meeting is at 3pm #5076,neutral,1
hate this update #3307,negative,0
this is awful #1655,negative,0
waste of time #5314,negative,0
this is awful #6191,negative,0
as expected #2634,neutral,1
standard procedure #2307,neutral,1
this made my day #5605,positive,2
as expected #6218,neutral,1
link attached for reference #5657,neutral,1
so happy with this #4392,positive,2
link attached for reference #9950,neutral,1
loving this so much #6144,positive,2
excellent quality #2111,positive,2
see you tomorrow #607,neutral,1
fantastic support team #7906,positive,2
waste of time #6322,negative,0
loving this so much #4254,positive,2
terrible quality #4829,negative,0
waste of time #6578,negative,0
terrible quality #6122,negative,0
hate this update #9090,negative,0
this made my day #8694,positive,2
this made my day #6813,positive,2
loving this so much #5707,positive,2
will follow up later #4888,neutral,1
best day ever #4762,positive,2
so happy with this #3235,positive,2
highly recommend #9468,positive,2
hate this update #4496,negative,0
waste of time #6619,negative,0
this made my day #5530,positive,2
so frustrated right now #1659,negative,0
so happy with this #5425,positive,2
this made my day #1782,positive,2
see you tomorrow #1729,neutral,1
totally disappointed with this #5041,negative,0
totally disappointed with this #552,negative,0
link attached for reference #4472,neutral,1
hate this update #8787,negative,0
will follow up later #9132,neutral,1
standard procedure #7703,neutral,1
will follow up later #3752,neutral,1
link attached for reference #5964,neutral,1
great experience #1817,positive,2
terrible quality #6203,negative,0
best day ever #9529,positive,2
would not recommend #9529,negative,0
great experience #5143,positive,2
the meeting is at 3pm #740,neutral,1
standard procedure #2878,neutral,1
terrible quality #6059,negative,0
so happy with this #2086,positive,2
terrible quality #3975,negative,0
see you tomorrow #2652,neutral,1
terrible quality #6526,negative,0
terrible quality #3292,negative,0
great experience #7895,positive,2
link attached for reference #8424,neutral,1
see you tomorrow #1178,neutral,1
totally disappointed with this #6824,negative,0
fantastic support team #547,positive,2
terrible quality #1875,negative,0
waste of time #4203,negative,0
so happy with this #8851,positive,2
hate this update #4217,negative,0
would not recommend #5372,negative,0
totally disappointed with this #3853,negative,0
will follow up later #8729,neutral,1
fantastic support team #3287,positive,2
standard procedure #9191,neutral,1
so frustrated right now #4610,negative,0
this is awful #7789,negative,0
noted for the record #4283,neutral,1
ok thanks #4992,neutral,1
ok thanks #7930,neutral,1
great experience #1948,positive,2
worst experience ever #5545,negative,0
excellent quality #759,positive,2
as expected #9122,neutral,1
so frustrated right now #4564,negative,0
ok thanks #6104,neutral,1
best day ever #8069,positive,2
best day ever #4320,positive,2
will follow up later #1140,neutral,1
fantastic support team #4065,positive,2
so frustrated right now #403,negative,0
this made my day #8198,positive,2
would not recommend #5295,negative,0
hate this update #4249,negative,0
this is awful #9456,negative,0
the meeting is at 3pm #3778,neutral,1
standard procedure #3596,neutral,1
loving this so much #8927,positive,2
totally disappointed with this #4964,negative,0
this made my day #9362,positive,2
totally disappointed with this #9237,negative,0
noted for the record #3965,neutral,1
worst experience ever #8879,negative,0
great experience #4095,positive,2
totally disappointed with this #4012,negative,0
would not recommend #5543,negative,0
hate this update #2845,negative,0
so happy with this #1297,positive,2
ok thanks #8517,neutral,1
excellent quality #8876,positive,2
waste of time #1637,negative,0
terrible quality #4400,negative,0
best day ever #8355,positive,2
see you tomorrow #7114,neutral,1
ok thanks #9720,neutral,1
ok thanks #3733,neutral,1
see you tomorrow #9976,neutral,1
great experience #3422,positive,2
highly recommend #652,positive,2
hate this update #631,negative,0
highly recommend #1291,positive,2
hate this update #4004,negative,0
loving this so much #4939,positive,2
link attached for reference #2825,neutral,1
hate this update #6015,negative,0
standard procedure #9529,neutral,1
will follow up later #9807,neutral,1
this is awful #491,negative,0
best day ever #6416,positive,2
this is awful #581,negative,0
so frustrated right now #2025,negative,0
noted for the record #2412,neutral,1
worst experience ever #7508,negative,0
standard procedure #6887,neutral,1
totally disappointed with this #5717,negative,0
hate this update #3315,negative,0
the meeting is at 3pm #6437,neutral,1
totally disappointed with this #8930,negative,0
this is awful #73,negative,0
best day ever #6794,positive,2
loving this so much #2215,positive,2
fantastic support team #4235,positive,2
best day ever #6387,positive,2
great experience #4591,positive,2
highly recommend #5922,positive,2
great experience #7236,positive,2
would not recommend #3222,negative,0
highly recommend #3502,positive,2
great experience #3932,positive,2
this made my day #7229,positive,2
see you tomorrow #4083,neutral,1
would not recommend #107,negative,0
standard procedure #4028,neutral,1
this made my day #1181,positive,2
waste of time #2272,negative,0
standard procedure #8196,neutral,1
totally disappointed with this #5938,negative,0
totally disappointed with this #4168,negative,0
as expected #7566,neutral,1
excellent quality #1464,positive,2
ok thanks #5994,neutral,1
noted for the record #9873,neutral,1
link attached for reference #109,neutral,1
excellent quality #262,positive,2
so frustrated right now #8751,negative,0
as expected #8774,neutral,1
ok thanks #8732,neutral,1
the meeting is at 3pm #889,neutral,1
so frustrated right now #2893,negative,0
waste of time #4741,negative,0
highly recommend #3667,positive,2
this is awful #9987,negative,0
the meeting is at 3pm #7234,neutral,1
highly recommend #1541,positive,2
fantastic support team #5640,positive,2
best day ever #6217,positive,2
this is awful #2601,negative,0
this is awful #8810,negative,0
as expected #6840,neutral,1
totally disappointed with this #8916,negative,0
link attached for reference #2645,neutral,1
waste of time #3941,negative,0
loving this so much #5289,positive,2
the meeting is at 3pm #1618,neutral,1
ok thanks #9076,neutral,1
this made my day #194,positive,2
totally disappointed with this #1932,negative,0
best day ever #9297,positive,2
totally disappointed with this #9687,negative,0
the meeting is at 3pm #9902,neutral,1
best day ever #393,positive,2
this is awful #3013,negative,0
loving this so much #3033,positive,2
best day ever #1121,positive,2
waste of time #8668,negative,0
fantastic support team #3092,positive,2
terrible quality #533,negative,0
as expected #2407,neutral,1
great experience #3191,positive,2
fantastic support team #7634,positive,2
so happy with this #3909,positive,2
best day ever #3369,positive,2
waste of time #8967,negative,0
this is awful #8421,negative,0
so happy with this #7149,positive,2
great experience #868,positive,2
waste of time #9026,negative,0
highly recommend #6590,positive,2
this made my day #4196,positive,2
as expected #6777,neutral,1
this made my day #568,positive,2
excellent quality #3396,positive,2
this made my day #4701,positive,2
ok thanks #3138,neutral,1
so happy with this #8654,positive,2
the meeting is at 3pm #4652,neutral,1
loving this so much #9068,positive,2
worst experience ever #6860,negative,0
terrible quality #3641,negative,0
loving this so much #3765,positive,2
loving this so much #312,positive,2
will follow up later #7298,neutral,1
this made my day #9153,positive,2
totally disappointed with this #5984,negative,0
waste of time #1851,negative,0
this is awful #3341,negative,0
see you tomorrow #282,neutral,1
link attached for reference #5,neutral,1
so frustrated right now #6308,negative,0
the meeting is at 3pm #2745,neutral,1
so happy with this #4065,positive,2
worst experience ever #6218,negative,0
great experience #2749,positive,2
loving this so much #2166,positive,2
this is awful #9473,negative,0
will follow up later #3927,neutral,1
this is awful #6260,negative,0
waste of time #5220,negative,0
see you tomorrow #4169,neutral,1
excellent quality #863,positive,2
see you tomorrow #7965,neutral,1
noted for the record #4319,neutral,1
hate this update #1218,negative,0
this made my day #6150,positive,2
best day ever #807,positive,2
link attached for reference #540,neutral,1
waste of time #1396,negative,0
totally disappointed with this #3144,negative,0
the meeting is at 3pm #5324,neutral,1
standard procedure #308,neutral,1
link attached for reference #8666,neutral,1
link attached for reference #3802,neutral,1
this is awful #3606,negative,0
this is awful #2574,negative,0
loving this so much #1844,positive,2
terrible quality #6331,negative,0
noted for the record #4524,neutral,1
great experience #2709,positive,2
so frustrated right now #9903,negative,0
link attached for reference #6825,neutral,1
fantastic support team #4789,positive,2
fantastic support team #6594,positive,2
hate this update #6034,negative,0
so frustrated right now #1397,negative,0
hate this update #5618,negative,0
waste of time #3109,negative,0
terrible quality #1310,negative,0
link attached for reference #6794,neutral,1
this made my day #8794,positive,2
noted for the record #935,neutral,1
terrible quality #4760,negative,0
great experience #2301,positive,2
best day ever #843,positive,2
as expected #9307,neutral,1
this made my day #1989,positive,2
ok thanks #4224,neutral,1
standard procedure #5967,neutral,1
standard procedure #8589,neutral,1
this made my day #7072,positive,2
terrible quality #1982,negative,0
excellent quality #327,positive,2
this made my day #9370,positive,2
worst experience ever #1219,negative,0
link attached for reference #9799,neutral,1
highly recommend #4198,positive,2
noted for the record #8355,neutral,1
hate this update #124,negative,0
terrible quality #9529,negative,0
highly recommend #298,positive,2
would not recommend #5307,negative,0
the meeting is at 3pm #1027,neutral,1
great experience #9701,positive,2
excellent quality #4243,positive,2
would not recommend #75,negative,0
terrible quality #9206,negative,0
excellent quality #8794,positive,2
loving this so much #2756,positive,2
worst experience ever #6163,negative,0
so happy with this #9399,positive,2
great experience #1412,positive,2
excellent quality #3646,positive,2
totally disappointed with this #1484,negative,0
highly recommend #5383,positive,2
standard procedure #7429,neutral,1
the meeting is at 3pm #9097,neutral,1
so happy with this #7878,positive,2
this made my day #4835,positive,2
so happy with this #1017,positive,2
so frustrated right now #3833,negative,0
loving this so much #4274,positive,2
as expected #2627,neutral,1
totally disappointed with this #8513,negative,0
so frustrated right now #1612,negative,0
excellent quality #8102,positive,2
worst experience ever #5188,negative,0
loving this so much #636,positive,2
loving this so much #5673,positive,2
the meeting is at 3pm #7640,neutral,1
standard procedure #4717,neutral,1
waste of time #7749,negative,0
noted for the record #6714,neutral,1
the meeting is at 3pm #686,neutral,1
waste of time #9378,negative,0
fantastic support team #399,positive,2
best day ever #9881,positive,2
link attached for reference #5250,neutral,1
loving this so much #6185,positive,2
as expected #4068,neutral,1
this is awful #4544,negative,0
fantastic support team #9620,positive,2
fantastic support team #4323,positive,2
as expected #5635,neutral,1
totally disappointed with this #989,negative,0
link attached for reference #1699,neutral,1
the meeting is at 3pm #6061,neutral,1
link attached for reference #7984,neutral,1
noted for the record #7297,neutral,1
worst experience ever #5404,negative,0
this made my day #8242,positive,2
would not recommend #1660,negative,0
link attached for reference #164,neutral,1
waste of time #7176,negative,0
waste of time #9698,negative,0
so happy with this #2184,positive,2
highly recommend #4229,positive,2
hate this update #5559,negative,0
best day ever #7170,positive,2
the meeting is at 3pm #3878,neutral,1
terrible quality #5036,negative,0
so happy with this #1237,positive,2
best day ever #2775,positive,2
fantastic support team #4097,positive,2
totally disappointed with this #7057,negative,0
great experience #518,positive,2
link attached for reference #642,neutral,1
loving this so much #2734,positive,2
noted for the record #4639,neutral,1
will follow up later #3940,neutral,1
hate this update #3699,negative,0
so happy with this #932,positive,2
so happy with this #3880,positive,2
terrible quality #8222,negative,0
noted for the record #7534,neutral,1
loving this so much #7414,positive,2
fantastic support team #5059,positive,2
standard procedure #4553,neutral,1
terrible quality #605,negative,0
highly recommend #9590,positive,2
ok thanks #2062,neutral,1
as expected #3551,neutral,1
standard procedure #6838,neutral,1
waste of time #4582,negative,0
standard procedure #9086,neutral,1
